return_id,order_id,product_id,return_date,refund_amount,return_reason_code,processed_by
4539817a-4a79-40d0-bae6-aef4b5b6cea0,252aeda3-9cf4-45af-9bd3-9572279e1dc6,60a98360-f6a9-41b6-84f8-94c97d52fdcc,2024-03-23,40.73,BUYER_REMORSE,Stephanie Graves
c866e845-61b4-4789-804c-ea303e2dc6d9,5cb73739-b473-4e2c-a74e-efe5c99629cf,ab62536a-4741-460b-ab35-ee0e365b01ff,2024-03-13,1003.36,WRONG_ITEM,Rhonda Gould
ec7240ed-246c-4774-9ece-09e32df1d54f,e7d785a1-5966-44ce-9164-85ef3770f362,f6bedd29-f54a-4b95-b99c-a7af8eedaa51,2023-09-16,1056.57,BUYER_REMORSE,Jack Cook
b3bb5d34-1861-4770-b6f2-968906275a64,2864c732-c548-4aa6-90e3-8ff4654a29d6,2865d9ed-1b40-4796-8b66-04db0c1b3fa5,2023-08-25,1115.36,DAMAGED_TRANSIT,Leslie Ballard
6fe29ca2-d0be-423f-93a8-480192a23986,4beb815d-5c6c-43fe-acc2-a90bd89e6f62,e68f423a-78be-49ec-8347-109d1ae7aa12,2023-05-23,35.01,FIT_ISSUE,Matthew Ward
c2586a37-03fc-4b69-8880-2c335f9036fb,8a5200c0-efe2-4a5e-a6a8-58d947b4bda3,986c48a8-799d-43ae-8ae5-2e551a672d06,2023-12-14,361.52,BUYER_REMORSE,Scott Galvan
41e35877-f91c-4d4c-87f4-9852a0be8f78,a01498c0-12ac-45a3-8286-8b8879c89d25,61f2a9cf-42f9-4033-8ba1-a20a9fa993be,2023-09-27,146.93,WRONG_ITEM,Katherine Yu
44724b14-ec1f-459e-b54a-9bf677a60a87,6e738b89-b18c-4c58-99ee-dd2804d3a7e3,0973359c-687c-4897-9a71-763c0d55626e,2024-02-06,770.79,WRONG_ITEM,John Green
63f9c1ec-57b4-4266-b967-5c3c315e59a6,193d4d8d-afba-4f87-adad-66ab85435a8d,53995d95-42b9-402b-9838-50926046b9cf,2023-04-28,209.99,FIT_ISSUE,Michele Fitzgerald
f4e2652c-6d7a-4209-be30-5a2468919fe9,ca0e7136-2187-4d69-a2d1-7ea107028aa8,ae14b6b4-3e5b-40fc-8f8d-800ade6b7284,2024-01-19,94.01,FIT_ISSUE,Jamie Brown
004a01ff-6c72-476e-872c-29030463b89c,77d6e79b-561b-4896-a6f5-8bde437d593b,2fc04706-4b4d-430c-81af-1425e99d3f1c,2023-10-25,65.51,BUYER_REMORSE,Daniel Gonzalez
cff0f974-a901-4d8b-94ff-db6af75481d5,05af744a-fae9-41e3-8673-d99c344fd1fd,d9d6ee90-ac42-46fa-9f34-c4dd42ff7c5e,2023-12-15,36.72,FIT_ISSUE,Michael Peterson
abdb8294-1cf2-4bdd-8899-9e53685fb80f,011efed9-16f6-4fd5-8855-b0ab63bf828e,d0ff8638-0bf9-4d23-a493-4ff29a1d99bd,2023-12-14,565.2,FIT_ISSUE,Eric Hamilton
d063a450-e38a-4e9b-aa2f-5f19cf2e3145,bcfa9371-d776-4177-9e11-7bcf0aec67c0,4f519969-8488-4d80-a711-e4274e0c59b4,2023-01-16,127.89,BUYER_REMORSE,Henry Harris
5882a31a-22c4-4406-bd45-4f3d6d4d6fa5,dd548206-af41-4952-b93c-257280acda6d,77370d54-8632-46ed-b345-76fa731f43d1,2024-03-14,666.53,BUYER_REMORSE,Barbara Erickson
bfab1f38-1168-41df-8c81-7a9483058ea7,081fecd1-3009-4f33-b8fc-cfb0d8aaf306,a47d1018-d697-45dc-b491-5cff9c7b2c70,2024-04-28,10.8,DAMAGED_TRANSIT,Thomas Tucker
b3154a38-0c73-44b7-ab93-9b2f5869bf49,882af20d-8a45-45bb-b229-20572efd97a2,29a27b9e-17d5-446f-8e3a-8760f6975667,2024-04-30,535.21,DAMAGED_TRANSIT,Edward Taylor II
1f3e42b3-bc58-4958-a568-1a15b459be84,64a9a6c4-6e34-4567-a9a9-45be49f42066,b32ddf44-abb4-46d6-b7d5-2a5110cb1910,2023-12-27,175.52,WRONG_ITEM,April Smith
6cd4d50d-a13e-4d61-8ed2-53980a686036,42e405f7-6a45-4f18-995d-7cf12f736612,e148ba6d-c893-40b7-b139-258ff19941a0,2023-05-06,189.11,BUYER_REMORSE,Tina Rollins
c3dfdc62-4f98-4902-b022-1ab8b5b519ad,f24d48a6-6672-4ab5-8ab3-ecf29fcd73ad,f09ffe1a-e3d0-4a97-aad3-1c1b64a28c25,2024-03-18,27.95,BUYER_REMORSE,James Ruiz
258609fc-2c15-4c8d-8d3d-98b2091cafa6,078a3967-8eff-4000-b3b3-de0d8fbf486c,ca3dc6a8-3a4d-413d-9bf7-bd2a5d0a28a9,2023-10-09,193.87,BUYER_REMORSE,Cheryl Rose
c8c4efe2-2c7a-4e5b-807d-f6dae007562e,21fbc62a-c466-4f79-99c3-7709c3701876,b6fdd939-43f1-4e32-803c-51e15096ecb9,2024-04-30,112.54,BUYER_REMORSE,Kevin Walls
436cd4b7-2f31-40aa-9a98-ca27f09e94c0,5331867c-f06a-4b83-90c4-7fa252338dca,c3dadb71-0821-4237-baf3-1461c6e6bb3c,2024-01-09,24.74,FIT_ISSUE,Kristen Jones
27b0d9ed-3b01-4074-8995-909d9fcc07ae,81ea2ca4-3505-44c0-b412-8d056ba264df,d322332f-59d8-45ea-a955-6bf93ea758e5,2024-04-16,32.06,BUYER_REMORSE,Veronica Hart
84bc73ed-e21b-43e9-a963-9ab17ec970fc,db052cb7-3322-40ee-8527-834f158ce9d2,8eb9b86e-983d-424f-aaa6-ca1eadc9c0c4,2024-04-30,427.68,BUYER_REMORSE,Kelly Jackson
397c3a24-1951-4cf7-b976-548607facdc7,154bd565-9c93-4b75-847b-9c709e058eeb,0ea21204-0b31-4254-b7e2-586f77034b63,2024-03-11,430.35,NOT_AS_DESCRIBED,Tyler Heath
cb121645-6f7e-4626-8f4f-c51feb6433aa,2f1d0dd0-2f6b-4d12-8de9-248d2ec0c431,b56c3743-1e19-45a4-bf13-96514c0e9147,2023-04-30,227.08,NOT_AS_DESCRIBED,Yvette Aguilar
b706b5cc-cfa3-41ef-bf40-ca17a573f251,f1815bab-d8c2-455c-8898-703d40b71343,49039f36-2f33-42fc-a6f3-d9bacee55070,2024-03-25,15.58,FIT_ISSUE,Colleen Walker
c84a6551-70ab-4ae3-9be0-f33aaae17fd0,7b4b2819-b88c-413b-8321-119719c16cf2,14796a4f-e858-485b-b3ad-3ff55acc983d,2024-02-04,124.87,FIT_ISSUE,Brittney Cooper
fd963865-72aa-4f2e-92a1-1e845771a40a,6840d263-929f-4510-8308-8b70c1ebea71,730cfe40-cde5-4b08-b974-26a32bcd3b7e,2023-07-12,283.21,BUYER_REMORSE,Jessica Murray
ba6828de-dfd8-4c33-810d-eb02310fff25,5c63bfbc-9999-4720-8f6f-6643f58d2bc6,f4be3a9a-62cf-4302-8338-4ccd1ede917b,2024-01-02,20.68,DEFECTIVE,John Hughes
2ba66fd7-e377-4a10-a5b0-94f4c841ecf0,ff7a0262-487e-4026-b713-f0d659c52521,a95d4bce-f7b6-44ac-8b1f-1dcf2a0738b4,2024-02-24,573.12,FIT_ISSUE,Kristina Rodgers
8d5e2c69-3797-4e76-a6b2-1cb5edecb5c9,4d032329-2331-4e9f-889b-98f9c28dd456,916235cb-fa83-49f6-adf0-9850d2c07a41,2024-04-17,21.81,DEFECTIVE,Lucas Howard
78ef4a19-ef57-43a0-9368-94d33df0de9b,fee72750-68d5-4948-94f7-115f2f72ecac,3e030641-7fab-4dbd-b415-7f4c13a57594,2023-12-27,200.17,DAMAGED_TRANSIT,Jeffery Thompson
16917f36-1e59-438d-8048-9a11807b1d9c,88310fd0-99c5-4ac9-a708-ec12feca37e3,befd392a-1298-4242-b080-9d8ba66fbd6c,2023-04-08,434.15,LATE_ARRIVAL,Debra Hendricks
a9940456-aa62-4846-8f3b-5a14ad705c7d,d9fd38f2-8ad6-4514-8317-be34dd1444ee,14542bdd-179e-4ccf-84aa-0bf2735401bf,2023-06-30,414.29,OTHER,Kathy Carlson
17e5d22f-47cc-4bc0-b099-6fd8cf68ec61,e573d24e-1da9-473c-857b-21c20af18403,5e8b84d9-dbb1-44d9-96a2-10bd31037226,2024-01-07,94.54,WRONG_ITEM,Martha Robbins
b8a30616-5273-4026-9577-2b52bb0deb15,aceffde3-53dc-4053-86c7-b45783afabbb,a891bbea-922a-4427-acaf-594fd1533d97,2023-10-03,128.19,DAMAGED_TRANSIT,Phillip King
2002afb6-b06f-4c3c-ae4f-9ab0947329ee,37a4fa24-d198-44bc-9e31-e926e3ae8e58,1438084e-b43a-4de1-a8a6-9b27cc0ba8a8,2023-03-31,34.45,BUYER_REMORSE,Andrea Lopez
4c495349-bee6-4aee-8ea0-bb38984a292f,e839d885-d028-4446-921e-227e93eadf15,81df67d4-0a27-4071-8dc1-8320505e00ad,2024-04-30,162.02,FIT_ISSUE,Amy Lee
0b8fb9d8-92b7-4c1c-9286-0798d1d55e2a,5ec7a467-2a50-4bbb-8565-04ff16860234,3ae85c4b-8a20-4e1e-8da5-4672f575243c,2024-03-11,1195.1,WRONG_ITEM,Erica Vaughan
d31c4816-c778-4d61-b12c-454b5fd802f8,e1084285-81cb-4af1-9d53-0c48d5695aef,50c9ae9d-8c6e-47af-a29e-6e6d6a0ead2a,2024-02-17,1986.9,NOT_AS_DESCRIBED,Tracy Perez
3127178b-d7e2-4f67-86f7-5c95a4d15758,772f8e2b-7e89-4f92-ba4c-38754543349f,ad0d5b60-6cb7-4668-aa6a-7184800bcd0e,2023-11-18,44.47,NOT_AS_DESCRIBED,Christopher Stewart
a5a3d537-6df7-4c37-8e70-0da45efa025e,caec745b-7f8f-421b-bc25-64c2764e3e4a,a8de530a-4f03-4aae-8802-5b794f2e6fba,2024-04-30,851.12,DUPLICATE_ORDER,Brett Nelson
7fb35c43-c73e-4e90-affb-ba76556958f5,4c781ca3-d550-4e33-b9c1-263f108c5fac,30441837-66e1-4c53-823a-18ed0caa805c,2024-01-07,58.67,BUYER_REMORSE,John Bishop
1bef6ff6-e488-4c6b-b3a8-16096cc80750,8bd79960-0e09-48e6-a353-b4a0a9c6b122,d9777e73-57db-42ab-8476-46a105ffb683,2023-10-22,148.85,BUYER_REMORSE,Eric Pitts
89bd48e4-d923-4aff-b794-d9113830cff6,a2017eb7-7b6d-4c4a-8424-01456246a54c,63bfac5e-16ea-4d6c-b962-66a09747781b,2023-09-26,548.79,DAMAGED_TRANSIT,Bethany Taylor
feb46a6f-ed08-4630-8a19-413c7647ac46,3552becd-a596-40d5-8ef9-87ae42f9aa4d,423ce1f1-fd72-418c-b6fb-353b9410c773,2023-10-18,137.01,BUYER_REMORSE,Catherine Johnson
ffa895a1-e346-4ed4-9e75-a37b3b467d50,a0c8e9d9-ef04-4295-a7e7-2bcf22d02f5b,fd5bb7fd-7b25-4b7e-ab8f-ce2157efd554,2024-04-23,846.27,DEFECTIVE,Dana Johnson
d55631c1-55b8-4c67-931e-13f92b1b52d1,c426ebe3-3d11-4cb8-ba1d-a490da8caaff,c41ecfd1-f607-44b2-b825-7270979e24b3,2023-10-25,150.39,WRONG_ITEM,Stephanie Lewis
70069d07-bb4d-46f5-906c-c9cad88d0fa0,552a763c-e70f-4aeb-92b1-0235855ce7f1,8374ac9e-cc8e-4edc-8627-fdf9925a70e5,2024-01-09,319.66,BUYER_REMORSE,Rita Jones
641cedcc-70d4-431c-8360-6def31827e6f,f32b9948-a388-45fe-84e6-38cd2671eb01,0df78c47-3421-4544-8096-90e6f0ee088e,2023-10-26,227.01,FIT_ISSUE,Alexander Jacobson
a02f08a9-a9a1-4801-8494-35645571398e,a8b31d99-d5d4-4907-ab4e-998f21d931d0,8767c7b4-96c4-4796-bebf-b6bbc1738d6e,2023-11-13,369.1,FIT_ISSUE,Sarah Combs
a66effa8-0530-43f9-8dea-7238151a25d7,79ef4f38-bf95-45b4-9837-c0fa59a63a64,2d067b4b-9857-4ca5-be08-f03a4e1d28a5,2024-04-11,848.87,FIT_ISSUE,Melissa Villegas
ed6ba138-3935-468a-9533-f223c95cae1b,47a9d526-a861-48e3-9d5d-b8d56ecb1cf1,0f7f4848-d5fd-4972-9167-bbe65fc56ac1,2024-03-12,146.74,NOT_AS_DESCRIBED,Patricia Bailey
c10a27f2-30ab-46f1-bc03-0ce82c9e41da,93c40b2b-5a8a-414e-958d-83e878c63516,f892aa9e-a4b4-4bce-962a-c96f51b73189,2023-12-19,209.69,NOT_AS_DESCRIBED,Tommy Allen
6e63b5aa-378b-4e31-8368-97703c1eddc9,450df9f4-76e0-4d59-9fb7-733b31ada1ae,5e471d7b-1b7c-48b1-886f-829db22687d6,2023-07-25,22.12,DAMAGED_TRANSIT,Andrea Huff
f861dedc-56d3-40a0-bcca-d7ac6086c8a7,44aafa83-0ce9-449e-a5f5-378168d37dcc,bd205b5a-781a-44f1-b1a6-242b7738ab58,2023-09-11,2232.87,FIT_ISSUE,Lindsay Weeks
27984b30-c5f9-449f-95da-9a32d668f777,20ac774f-fb0d-43b0-8da8-08f1eb48840d,317ff986-3d4d-4b7a-8224-28373582c8ac,2023-08-04,80.12,NOT_AS_DESCRIBED,Edward Thompson
65a5b7c2-c278-4b7b-b2ba-42d48843ec6c,57bd7284-e2f7-4614-8897-288bf87cac5b,8fd7f1ec-1f3b-4d8a-aeaf-53440e72a137,2024-04-06,264.47,FIT_ISSUE,Andre Jones
feda5019-ef5a-465e-8e56-11a30c04b026,eb29dc66-0bc3-44c0-a001-0c5a465c2e4a,a2506183-40ce-4ffa-a6dd-9ee7125b62fe,2024-03-11,42.28,WRONG_ITEM,Maria Jones
993b66c8-0a2e-4dc4-af48-54a000bf2326,39bc9cfb-d469-47e5-a4ff-eb21ab763c95,42778f1a-1a8a-4bc1-a5c8-9aa24890b8c1,2023-05-10,105.82,BUYER_REMORSE,Nicholas Murray
0dbac8b7-347f-470c-a251-f95304ace772,01d805d6-4c72-4bd1-9ff3-9d8a8c34bf99,ab67b4ee-aa02-493a-8761-f0c3d721d094,2024-04-19,524.9,DAMAGED_TRANSIT,Angela Hickman
ca17be4e-8d06-4186-adf6-5debfb7988e4,5020f512-e8f8-4d06-b4ca-4d6e3c5ac9a3,b28754a9-5d6b-4740-b8b7-335a669e89ed,2024-01-17,460.49,DAMAGED_TRANSIT,Kylie Joseph
a8d87b76-4f7c-4bf8-b888-016c5d0a2cb5,e8d00fa0-932a-4639-950f-34bd0d828e3f,24f01f4d-9a77-4aba-ad65-1f6533081ef7,2024-03-23,535.49,DEFECTIVE,Todd Garcia
7ca37c26-868d-49b1-ab6c-7ec7f3fc00d0,7bc9bfe9-bf71-4caf-bdd7-24c5454e2939,6c68f2e6-a86f-4cc1-a71e-da5c5ab891a6,2023-06-02,35.02,FIT_ISSUE,William Parker
1690314b-5450-464b-a930-8bcecdde21b8,6e61e51b-2dbe-4931-ad05-132180efca89,91bb3f46-0929-492d-b6e3-d688ffb56003,2023-06-09,174.3,NOT_AS_DESCRIBED,Benjamin Mcneil
98fd2442-89a4-4621-a868-f25222ece9e6,46502fe9-d95f-4bd3-a31b-b3eb1f945fc8,27cece2b-17c1-47af-9904-eb63dcf3f7cd,2024-01-26,439.95,BUYER_REMORSE,Larry Walker
9ba29f4f-2f2b-46b9-93c7-c681af2f6054,406dc9fd-2e80-4108-9d4f-41b1279ce0fa,9321c3d6-3507-4dd3-9fb7-083618981d4e,2024-04-30,2304.61,BUYER_REMORSE,Nancy Richards
b3d13cad-3e09-405d-bd0b-a601482c18e7,ba40083a-7502-4d77-9c6c-2c4d60a1b4d7,48fbc411-7de9-43ec-9957-9cdb6b3b8413,2024-04-30,1525.13,DEFECTIVE,Taylor Bryant
